"ID"	"Top"	"Brown"
A01	news	A
A02	news	A
A03	news	A
A04	news	A
A05	news	A
A06	news	A
A07	news	A
A08	news	A
A09	news	A
A10	news	A
A11	news	A
A12	news	A
A13	news	A
A14	news	A
A15	news	A
A16	news	A
A17	news	A
A18	news	A
A19	news	A
A20	news	A
A21	news	A
A22	news	A
A23	news	A
A24	news	A
A25	news	A
A26	news	A
A27	news	A
A28	news	A
A29	news	A
A30	news	A
A31	news	A
A32	news	A
A33	news	A
A34	news	A
A35	news	A
A36	news	A
A37	news	A
A38	news	A
A39	news	A
A40	news	A
A41	news	A
A42	news	A
A43	news	A
A44	news	A
B01	news	B
B02	news	B
B03	news	B
B04	news	B
B05	news	B
B06	news	B
B07	news	B
B08	news	B
B09	news	B
B10	news	B
B11	news	B
B12	news	B
B13	news	B
B14	news	B
B15	news	B
B16	news	B
B17	news	B
B18	news	B
B19	news	B
B20	news	B
B21	news	B
B22	news	B
B23	news	B
B24	news	B
B25	news	B
B26	news	B
B27	news	B
C01	news	C
C02	news	C
C03	news	C
C04	news	C
C05	news	C
C06	news	C
C07	news	C
C08	news	C
C09	news	C
C10	news	C
C11	news	C
C12	news	C
C13	news	C
C14	news	C
C15	news	C
C16	news	C
C17	news	C
D01	misc	D
D02	misc	D
D03	misc	D
D04	misc	D
D05	misc	D
D06	misc	D
D07	misc	D
D08	misc	D
D09	misc	D
D10	misc	D
D11	misc	D
D12	misc	D
D13	misc	D
D14	misc	D
D15	misc	D
D16	misc	D
D17	misc	D
E01	nonfiction	E
E02	nonfiction	E
E03	nonfiction	E
E04	nonfiction	E
E05	nonfiction	E
E06	nonfiction	E
E07	nonfiction	E
E08	nonfiction	E
E09	nonfiction	E
E10	nonfiction	E
E11	nonfiction	E
E12	nonfiction	E
E13	nonfiction	E
E14	nonfiction	E
E15	nonfiction	E
E16	nonfiction	E
E17	nonfiction	E
E18	nonfiction	E
E19	nonfiction	E
E20	nonfiction	E
E21	nonfiction	E
E22	nonfiction	E
E23	nonfiction	E
E24	nonfiction	E
E25	nonfiction	E
E26	nonfiction	E
E27	nonfiction	E
E28	nonfiction	E
E29	nonfiction	E
E30	nonfiction	E
E31	nonfiction	E
E32	nonfiction	E
E33	nonfiction	E
E34	nonfiction	E
E35	nonfiction	E
E36	nonfiction	E
F01	nonfiction	F
F02	nonfiction	F
F03	nonfiction	F
F04	nonfiction	F
F05	nonfiction	F
F06	nonfiction	F
F07	nonfiction	F
F08	nonfiction	F
F09	nonfiction	F
F10	nonfiction	F
F11	nonfiction	F
F12	nonfiction	F
F13	nonfiction	F
F14	nonfiction	F
F15	nonfiction	F
F16	nonfiction	F
F17	nonfiction	F
F18	nonfiction	F
F19	nonfiction	F
F20	nonfiction	F
F21	nonfiction	F
F22	nonfiction	F
F23	nonfiction	F
F24	nonfiction	F
F25	nonfiction	F
F26	nonfiction	F
F27	nonfiction	F
F28	nonfiction	F
F29	nonfiction	F
F30	nonfiction	F
F31	nonfiction	F
F32	nonfiction	F
F33	nonfiction	F
F34	nonfiction	F
F35	nonfiction	F
F36	nonfiction	F
F37	nonfiction	F
F38	nonfiction	F
F39	nonfiction	F
F40	nonfiction	F
F41	nonfiction	F
F42	nonfiction	F
F43	nonfiction	F
F44	nonfiction	F
F45	nonfiction	F
F46	nonfiction	F
F47	nonfiction	F
F48	nonfiction	F
G01	nonfiction	G
G02	nonfiction	G
G03	nonfiction	G
G04	nonfiction	G
G05	nonfiction	G
G06	nonfiction	G
G07	nonfiction	G
G08	nonfiction	G
G09	nonfiction	G
G10	nonfiction	G
G11	nonfiction	G
G12	nonfiction	G
G13	nonfiction	G
G14	nonfiction	G
G15	nonfiction	G
G16	nonfiction	G
G17	nonfiction	G
G18	nonfiction	G
G19	nonfiction	G
G20	nonfiction	G
G21	nonfiction	G
G22	nonfiction	G
G23	nonfiction	G
G24	nonfiction	G
G25	nonfiction	G
G26	nonfiction	G
G27	nonfiction	G
G28	nonfiction	G
G29	nonfiction	G
G30	nonfiction	G
G31	nonfiction	G
G32	nonfiction	G
G33	nonfiction	G
G34	nonfiction	G
G35	nonfiction	G
G36	nonfiction	G
G37	nonfiction	G
G38	nonfiction	G
G39	nonfiction	G
G40	nonfiction	G
G41	nonfiction	G
G42	nonfiction	G
G43	nonfiction	G
G44	nonfiction	G
G45	nonfiction	G
G46	nonfiction	G
G47	nonfiction	G
G48	nonfiction	G
G49	nonfiction	G
G50	nonfiction	G
G51	nonfiction	G
G52	nonfiction	G
G53	nonfiction	G
G54	nonfiction	G
G55	nonfiction	G
G56	nonfiction	G
G57	nonfiction	G
G58	nonfiction	G
G59	nonfiction	G
G60	nonfiction	G
G61	nonfiction	G
G62	nonfiction	G
G63	nonfiction	G
G64	nonfiction	G
G65	nonfiction	G
G66	nonfiction	G
G67	nonfiction	G
G68	nonfiction	G
G69	nonfiction	G
G70	nonfiction	G
G71	nonfiction	G
G72	nonfiction	G
G73	nonfiction	G
G74	nonfiction	G
G75	nonfiction	G
H01	misc	H
H02	misc	H
H03	misc	H
H04	misc	H
H05	misc	H
H06	misc	H
H07	misc	H
H08	misc	H
H09	misc	H
H10	misc	H
H11	misc	H
H12	misc	H
H13	misc	H
H14	misc	H
H15	misc	H
H16	misc	H
H17	misc	H
H18	misc	H
H19	misc	H
H20	misc	H
H21	misc	H
H22	misc	H
H23	misc	H
H24	misc	H
H25	misc	H
H26	misc	H
H27	misc	H
H28	misc	H
H29	misc	H
H30	misc	H
J01	academ	J
J02	academ	J
J03	academ	J
J04	academ	J
J05	academ	J
J06	academ	J
J07	academ	J
J08	academ	J
J09	academ	J
J10	academ	J
J11	academ	J
J12	academ	J
J13	academ	J
J14	academ	J
J15	academ	J
J16	academ	J
J17	academ	J
J18	academ	J
J19	academ	J
J20	academ	J
J21	academ	J
J22	academ	J
J23	academ	J
J24	academ	J
J25	academ	J
J26	academ	J
J27	academ	J
J28	academ	J
J29	academ	J
J30	academ	J
J31	academ	J
J32	academ	J
J33	academ	J
J34	academ	J
J35	academ	J
J36	academ	J
J37	academ	J
J38	academ	J
J39	academ	J
J40	academ	J
J41	academ	J
J42	academ	J
J43	academ	J
J44	academ	J
J45	academ	J
J46	academ	J
J47	academ	J
J48	academ	J
J49	academ	J
J50	academ	J
J51	academ	J
J52	academ	J
J53	academ	J
J54	academ	J
J55	academ	J
J56	academ	J
J57	academ	J
J58	academ	J
J59	academ	J
J60	academ	J
J61	academ	J
J62	academ	J
J63	academ	J
J64	academ	J
J65	academ	J
J66	academ	J
J67	academ	J
J68	academ	J
J69	academ	J
J70	academ	J
J71	academ	J
J72	academ	J
J73	academ	J
J74	academ	J
J75	academ	J
J76	academ	J
J77	academ	J
J78	academ	J
J79	academ	J
J80	academ	J
K01	fiction	K
K02	fiction	K
K03	fiction	K
K04	fiction	K
K05	fiction	K
K06	fiction	K
K07	fiction	K
K08	fiction	K
K09	fiction	K
K10	fiction	K
K11	fiction	K
K12	fiction	K
K13	fiction	K
K14	fiction	K
K15	fiction	K
K16	fiction	K
K17	fiction	K
K18	fiction	K
K19	fiction	K
K20	fiction	K
K21	fiction	K
K22	fiction	K
K23	fiction	K
K24	fiction	K
K25	fiction	K
K26	fiction	K
K27	fiction	K
K28	fiction	K
K29	fiction	K
L01	fiction	L
L02	fiction	L
L03	fiction	L
L04	fiction	L
L05	fiction	L
L06	fiction	L
L07	fiction	L
L08	fiction	L
L09	fiction	L
L10	fiction	L
L11	fiction	L
L12	fiction	L
L13	fiction	L
L14	fiction	L
L15	fiction	L
L16	fiction	L
L17	fiction	L
L18	fiction	L
L19	fiction	L
L20	fiction	L
L21	fiction	L
L22	fiction	L
L23	fiction	L
L24	fiction	L
M01	fiction	M
M02	fiction	M
M03	fiction	M
M04	fiction	M
M05	fiction	M
M06	fiction	M
N01	fiction	N
N02	fiction	N
N03	fiction	N
N04	fiction	N
N05	fiction	N
N06	fiction	N
N07	fiction	N
N08	fiction	N
N09	fiction	N
N10	fiction	N
N11	fiction	N
N12	fiction	N
N13	fiction	N
N14	fiction	N
N15	fiction	N
N16	fiction	N
N17	fiction	N
N18	fiction	N
N19	fiction	N
N20	fiction	N
N21	fiction	N
N22	fiction	N
N23	fiction	N
N24	fiction	N
N25	fiction	N
N26	fiction	N
N27	fiction	N
N28	fiction	N
N29	fiction	N
P01	fiction	P
P02	fiction	P
P03	fiction	P
P04	fiction	P
P05	fiction	P
P06	fiction	P
P07	fiction	P
P08	fiction	P
P09	fiction	P
P10	fiction	P
P11	fiction	P
P12	fiction	P
P13	fiction	P
P14	fiction	P
P15	fiction	P
P16	fiction	P
P17	fiction	P
P18	fiction	P
P19	fiction	P
P20	fiction	P
P21	fiction	P
P22	fiction	P
P23	fiction	P
P24	fiction	P
P25	fiction	P
P26	fiction	P
P27	fiction	P
P28	fiction	P
P29	fiction	P
R01	fiction	R
R02	fiction	R
R03	fiction	R
R04	fiction	R
R05	fiction	R
R06	fiction	R
R07	fiction	R
R08	fiction	R
R09	fiction	R
