A01.pastVerbs	A03.presVerbs	B04.placeAdverbials	B05.timeAdverbials	C06.1persProns	C07.2persProns	C08.3persProns	C09.impersProns	C10.demonstrProns	C11.indefProns	C12.doAsProVerb	D13.whQuestions	E14.nominalizations	E16.Nouns	G19.beAsMain	H33.piedPiping	H34.sentenceRel	H35.causative	H36.concessives	H37.conditional	I39.preposn	I40.attrAdj	I41.predAdj	I42.ADV	J43.TTR	J44.wordLength	K45.conjuncts	K46.downtoners	K47.generalHedges	K48.amplifiers	K49.generalEmphatics	K50.discoursePart	K55.publicVerbs	K56.privateVerbs	K57.suasiveVerbs	K58.seemappear	L52.possibModals	L53.necessModals	L54.predicModals	N59.contractions	N60.thatDeletion	N61.strandedPrep	P66.syntNegn	P67.analNegn
0.06043	0.00618	0.00044	0.00088	0.00309	0.00000	0.01191	0.00882	0.01632	0.00176	0.00221	0.00618	0.03264	0.18174	0.00750	0.00132	0.00573	0.00000	0.00000	0.00000	0.09352	0.05690	0.00044	0.01897	0.48320	4.65333	0.06484	0.00044	0.00000	0.00088	0.00044	0.00088	0.01323	0.00529	0.00618	0.00000	0.00132	0.00397	0.01015	0.00970	0.02161	0.00044	0.00000	0.00397
0.04472	0.00521	0.00043	0.00304	0.00217	0.00130	0.01086	0.00651	0.00564	0.00043	0.00087	0.00564	0.02171	0.18454	0.00478	0.00130	0.00478	0.00087	0.00043	0.00087	0.11507	0.05254	0.00000	0.01997	0.55469	4.61333	0.04429	0.00130	0.00043	0.00043	0.00174	0.00130	0.00955	0.00478	0.00261	0.00087	0.00304	0.00087	0.01346	0.00868	0.01346	0.00000	0.00000	0.00261
0.04917	0.00392	0.00044	0.00696	0.00131	0.00087	0.01871	0.00261	0.01088	0.00044	0.00087	0.00609	0.02306	0.20453	0.00609	0.00044	0.00044	0.00131	0.00044	0.00131	0.10705	0.06876	0.00000	0.01915	0.54427	4.57974	0.04569	0.00087	0.00000	0.00218	0.00044	0.00174	0.01131	0.00479	0.01218	0.00000	0.00218	0.00044	0.01131	0.00653	0.01958	0.00000	0.00000	0.00479
0.03863	0.00404	0.00225	0.00539	0.00000	0.00000	0.01303	0.00629	0.01977	0.00000	0.00045	0.00449	0.04223	0.15409	0.01258	0.00045	0.00180	0.00000	0.00000	0.00225	0.12309	0.07817	0.00090	0.03549	0.56186	4.95533	0.05930	0.00314	0.00000	0.00225	0.00135	0.00225	0.00584	0.00809	0.00404	0.00045	0.00225	0.00180	0.00719	0.00539	0.01482	0.00045	0.00000	0.00854
0.05167	0.01024	0.00178	0.00401	0.00802	0.00000	0.02895	0.00401	0.01425	0.00134	0.00312	0.00713	0.02272	0.18886	0.00935	0.00089	0.00267	0.00045	0.00000	0.00134	0.09933	0.06815	0.00089	0.01960	0.46494	4.54975	0.06726	0.00134	0.00045	0.00045	0.00134	0.00134	0.01871	0.00757	0.00445	0.00000	0.00490	0.00490	0.01336	0.00312	0.02494	0.00000	0.00045	0.00490
0.04591	0.00525	0.00087	0.00481	0.01181	0.00262	0.02536	0.00437	0.01049	0.00131	0.00044	0.00875	0.02930	0.17315	0.01268	0.00044	0.00087	0.00044	0.00044	0.00087	0.11325	0.05990	0.00000	0.01574	0.49091	4.56113	0.05422	0.00175	0.00044	0.00000	0.00000	0.00262	0.01530	0.00612	0.00306	0.00000	0.00394	0.00219	0.00700	0.01312	0.02274	0.00044	0.00000	0.00656
0.03918	0.00871	0.00087	0.00522	0.00348	0.00044	0.01524	0.00392	0.01175	0.00087	0.00087	0.00697	0.03396	0.16413	0.00871	0.00044	0.00174	0.00087	0.00000	0.00131	0.11450	0.06574	0.00000	0.01698	0.50259	4.84232	0.06922	0.00218	0.00000	0.00044	0.00044	0.00087	0.01175	0.00697	0.00479	0.00087	0.00218	0.00044	0.00827	0.01219	0.01959	0.00000	0.00000	0.00218
0.02413	0.00820	0.00137	0.00319	0.00000	0.00000	0.01639	0.01002	0.00956	0.00182	0.00182	0.00820	0.02732	0.16530	0.01639	0.00000	0.00319	0.00046	0.00046	0.00319	0.11566	0.06876	0.00137	0.03461	0.58158	4.73847	0.06876	0.00182	0.00046	0.00228	0.00364	0.00228	0.00228	0.00638	0.00091	0.00046	0.00956	0.00182	0.01594	0.00410	0.00683	0.00000	0.00000	0.00774
0.05975	0.00395	0.00176	0.00308	0.00351	0.00044	0.00967	0.00351	0.00659	0.00000	0.00132	0.00308	0.02373	0.20211	0.00615	0.00088	0.00527	0.00000	0.00000	0.00044	0.11643	0.04482	0.00000	0.01757	0.56364	4.65243	0.05009	0.00132	0.00000	0.00044	0.00000	0.00132	0.01318	0.00439	0.00395	0.00044	0.00176	0.00088	0.00659	0.01142	0.01801	0.00000	0.00000	0.00395
0.04803	0.00961	0.00262	0.00131	0.00786	0.00000	0.02576	0.00524	0.01092	0.00175	0.00175	0.00655	0.01616	0.16638	0.00917	0.00131	0.00306	0.00044	0.00000	0.00087	0.10175	0.05240	0.00131	0.01572	0.52083	4.51967	0.06070	0.00000	0.00087	0.00000	0.00131	0.00044	0.01528	0.00830	0.00742	0.00087	0.00175	0.00437	0.00917	0.00611	0.02576	0.00000	0.00000	0.00568
