A01	The Atlanta Constitution<br>
A02	The Dallas Morning News, February 17,1961,section 1
A03	Chicago Daily Tribune
A04	The Christian Science Monitor, May 11,1961, p.1
A05	The Providence Journal
A06	Newark Evening News, March 22, 1961, p.25
A07	The New York Times, June 19, 1961, p.1
A08	The Times-Picayune, [New Orleans], January 1, 1961, sec. 2, p.3
A09	The Philadelphia Inquirer, May 10, 1961, p.49
A10	The Oregonian, [Portland]
A11	The Sun, [Baltimore], March 18, 1961
A12	The Dallas Morning News, October 10, 1961, sec. 2
A13	Rocky Mountains News, [Denver, Colorado], May 2, 1961
A14	The New York Times, January 24, 1961, p. 23
A15	St. Louis Post-Dispatch, May 2, 1961, p.4C
A16	Chicago Daily Tribune	
A17	Rocky Mountain News, [Denver, Colorado]
A18	The Philadelphia Inquirer, March 26, 1961, p.16
A19	The Sun, [Baltimore]
A20	Chicago Daily Tribune, February 10, 1961
A21	The Detroit News
A22	The Atlanta Constitution
A23	The Oregonian, [Portland], August 26, 1961, p.7
A24	The Providence Journal, November 29, 1961
A25	San Francisco Chronicle, March 27, 1961, p.32
A26	The Dallas Morning News, April 9, 1961, sec. 4, p.1
A27	Los Angeles Times, June 21, 1961, sec. 4, p.6
A28	The Wall Street Journal
A29	The Dallas Morning News, September 10, 1961, sec. 6
A30	Los Angeles Times
A31	The Miami Herald
A32	San Francisco Chronicle
A33	The Washington Post
A34	The New York Times, May 21, 1961, sec. 4, p.1
A35	James J. Maguire, "A Family Affair"
A36	William Gomberg, "Unions and the Anti-Trust Laws"
A37	"National Affairs"
A38	Alfred Wright, "A Duel Golfers Will Never Forget"
A39	"Sports"
A40	Time, 77: 3 (January 13, 1961)
A41	Robert Wallace, "This Is the Way It Came About"
A42	"National Affairs"
A43	U.S. News and World Report, May 22, 1961
A44	Saturday Review, 44: 15 (April 15, 1961)
B01	The Atlanta Constitution, March 6, 1961, p.4, The Washington Post, June 1, 1961, p.A24
B02	The Christian Science Monitor
B03	The Detroit News, November 17, 1961, p.8B
B04	The Miami Herald, September 19, 1961, p. 6A
B05. Newark Evening News<p>News
B06	St. Louis Post-Dispatch, October 27, 1961, p.20
B07	The New York Times, October 17, 1961, p.38
B08	The Atlanta Constitution
B09	The Christian Science Monitor
B10	The Sun, [Baltimore]
B11	Los Angeles Times
B12	Newark Evening News
B13	The Times-Picayune, [New Orleans]
B14	The Atlanta Constitution
B15	The Providence Journal, E. February 5, 1961, p.N21	"A defense of the VA.."	1360-1750
B16	Chicago Daily Tribune
B17	Newark Evening News
B18	The New York Times, October 17, 1961, p.38
B19	The Philadelphia Inquirer, November 5, 1961, p. B 8
B20	"Editorials"
B21	The New Republic, 145: 19 (November 6, 1961)
B22	"Week by Week"
B23	National Review, xi: 26 (December 30, 1961)
B24	"Reviews"
B25	The Nation, 193: 16 (November 11, 1961), 370-373
B26	National Review
B27	Saturday Review
C01	Chicago Daily Tribune
C02	The Christian Science Monitor, November 28, 1961
C03	The New York Times
C04	The Providence Journal
C05	The Christian Science Monitor, April 20, 1961
C06	The Wall Street Journal, May 22, 1961, p.12
C07	The New York Times
C08	The Providence Journal
C09	The New York Times
C10	The Providence Journal
C11	The New York Times
C12	The Christian Science Monitor, October 17, 1961, p.4
C13	The Wall Street Journal, March 8, 1961, p. 16
C14	The New York Times
C15	Life
C16	Saturday Review, 44:15 (April 15, 1961)
C17	Time magazine, 77:3 (January 13, 1961), 48-50 "Reviews"	0010-1920
D01	William G. Pollard, Physicist and Christian. 
D02	Schubert Ogden, Christ Without Myth. New York: Harper and Brothers, 1961.
D03	Edward E. Kelly, S.J., "Christian Unity in England"
D04	Jaroslav Pelikan, The Shape of Death: life, death and immortality in the
D05	Perry Miller "Theodore Parker: Apostasy within Liberalism"
D06	Tracts published by American Tract Society, 513 West 166th St.,
D07	Peter Eldersveld, "Faith Amid Fear"
D08	Schuyler Cammann, "The Magic Square of Three in Old Chinese Phliosophy and
D09	Eugene E. Golay, Organizing the Local Church for Effective Lay Visitation
D10	Huston Smith, "Interfaith Communication: The Contemporary Scene,"
D11	Paul Ramsey, War and the Christian Conscience. Durham, North Carolina:
D12	Kenneth Underwood and Elden Jacobsen, "Probing the Ethics of Realtors," 
D13	Science of Mind, 34:11 (November, 1961)
D14	Kenneth Scott Latourette, Christianity in a Revolutionary Age
D15	Ernest Becker, Zen: A Rational Critique. New York: W.W. Norton 
D16	Herald Press Tracts, Scottdale, Pa. No Copyright.
D17	Guideposts
E01	Mr. America, 4:6 (November, 1961)
E02	Organic Gardening and Farming, January, 1961
E03	Lt. Col. D.F. Martin, "Will Aircraft or Missiles Win Wars?"
E04	High Fidelity, 11:10 (October,1961)
E05	Dog World, 46:4 (April, 1961)
E06	Joseph E. Choate, "The American Boating Scene"
E07	Paul Larson and Gordon Odegard, "How to design your Interlocking Frame,"
E08	Don Francisco, "Formulas and Math Every Hot Rodder Should Know"
E09	The Horseman and Fair World, 84:46 (February 8, 1961)
E10	Larry Koller, "The New Guns of '61"
E11	Idwal Jones, "Santa Cruz Run"
E12	Julia Newman, "Travel and Camera USA"
E13	Robert Deardorff, "Step by Step Through Istanbul"
E14	Ann Carnahan, Nick Manero's Cook-out Barbeque Book
E15	McCall's Needlework and Crafts, Spring-Summer, 1961
E16	Hal Kelly, "Build Hotei"
E17	The Family Handyman, 11:5 (October, 1961)
E18	Covered Bridge Topics, XIX:2 (July, 1961)
