Word	CEFR	Part of Speech
the	“A1”	Determiner
be	“A1”	Verb
of	“A1”	Preposition
and	“A1”	Conjunction
in	“A1”	Preposition
to	“A1”	Miscellaneous
to	“A1”	Preposition
for	“A1”	Preposition
have	“A1”	Verb
with	“A1”	Preposition
on	“A1”	Preposition
it	“A1”	Pronoun
British	“A1”	Adjective
by	“A1”	Preposition
at	“A1”	Preposition
from	“A1”	Preposition
that	“A1”	Pronoun
an	“A1”	Determiner
or	“A1”	Conjunction
this	“A1”	Determiner
not	“A1”	Adverb
you	“A1”	Pronoun
will	“A1”	Modal verb
do	“A1”	Verb
but	“A1”	Conjunction
we	“A1”	Pronoun
can	“A1”	Modal verb
which	“A1”	Pronoun
they	“A1”	Pronoun
their	“A1”	Pronoun
as	“A1”	Preposition
as	“A1”	Adverb
all	“A1”	Determiner
make	“A1”	Verb
if	“A1”	Preposition
as	“A1”	Conjunction
also	“A1”	Adverb
one	“A1”	Number
who	“A1”	Determiner
time	“A1”	Noun
other	“A1”	Adjective
take	“A1”	Verb
year	“A1”	Noun
use	“A1”	Verb
he	“A1”	Pronoun
there	“A1”	Pronoun
your	“A1”	Pronoun
would	“A1”	Modal verb
his	“A1”	Pronoun
see	“A1”	Verb
into	“A1”	Preposition
good	“A1”	Adjective
our	“A1”	Pronoun
its	“A1”	Pronoun
about	“A1”	Preposition
out	“A1”	Adverb
new	“A1”	Adjective
any	“A1”	Determiner
when	“A1”	Conjunction
give	“A1”	Verb
go	“A1”	Verb
than	“A1”	Preposition
get	“A1”	Verb
include	“A1”	Verb
say	“A1”	Verb
so	“A1”	Conjunction
people	“A1”	Noun
some	“A1”	Determiner
these	“A1”	Determiner
over	“A1”	Preposition
no	“A1”	Exclamation
only	“A1”	Adverb
find	“A1”	Verb
now	“A1”	Adverb
then	“A1”	Adverb
two	“A1”	Number
well	“A1”	Adverb
what	“A1”	Adverb
first	“A1”	Number
London	“A1”	Noun
very	“A1”	Adverb
way	“A1”	Noun
yes	“A1”	Exclamation
should	“A1”	Modal verb
come	“A1”	Verb
provide	“A1”	Verb
after	“A1”	Preposition
up	“A1”	Preposition
hundred	“A1”	Number
know	“A1”	Verb
just	“A1”	Adverb
work	“A1”	Verb
many	“A1”	Determiner
could	“A1”	Modal verb
work	“A1”	Noun
my	“A1”	Pronoun
through	“A1”	Preposition
how	“A1”	Adverb
day	“A1”	Noun
need	“A1”	Verb
part	“A1”	Noun
between	“A1”	Preposition
information	“A1”	Noun
where	“A1”	Adverb
look	“A1”	Verb
us	“A1”	Pronoun
number	“A1”	Noun
here	“A1”	Adverb
before	“A1”	Preposition
like	“A1”	Preposition
even	“A1”	Adverb
great	“A1”	Adjective
think	“A1”	Verb
most	“A1”	Adverb
which	“A1”	Determiner
up	“A1”	Adverb
help	“A1”	Verb
more	“A1”	Pronoun
place	“A1”	Noun
so	“A1”	Adverb
own	“A1”	Adjective
back	“A1”	Adverb
want	“A1”	Verb
last	“A1”	Adjective
me	“A1”	Pronoun
still	“A1”	Adverb
high	“A1”	Adjective
under	“A1”	Preposition
life	“A1”	Noun
same	“A1”	Adjective
such	“A1”	Determiner
show	“A1”	Verb
more	“A1”	Adverb
three	“A1”	Number
must	“A1”	Modal verb
those	“A1”	Pronoun
because	“A1”	Conjunction
all	“A1”	Adverb
another	“A1”	Determiner
some	“A1”	Pronoun
both	“A1”	Determiner
much	“A1”	Adverb
leave	“A1”	Verb
thing	“A1”	Noun
about	“A1”	Adverb
call	“A1”	Verb
each	“A1”	Determiner
small	“A1”	Adjective
problem	“A1”	Noun
her	“A1”	Pronoun
England	“A1”	Noun
use	“A1”	Noun
start	“A1”	Verb
put	“A1”	Verb
keep	“A1”	Verb
without	“A1”	Preposition
too	“A1”	Adverb
every	“A1”	Determiner
end	“A1”	Noun
English	“A1”	Noun
run	“A1”	Verb
while	“A1”	Conjunction
home	“A1”	Noun
around	“A1”	Preposition
next	“A1”	Adjective
full	“A1”	Adjective
European	“A1”	Adjective
write	“A1”	Verb
try	“A1”	Verb
point	“A1”	Noun
when	“A1”	Adverb
she	“A1”	Pronoun
hold	“A1”	Verb
child	“A1”	Noun
bring	“A1”	Verb
old	“A1”	Adjective
important	“A1”	Adjective
ask	“A1”	Verb
mean	“A1”	Verb
out	“A1”	Preposition
please	“A1”	Exclamation
week	“A1”	Noun
again	“A1”	Adverb
possible	“A1”	Adjective
able	“A1”	Adjective
tell	“A1”	Verb
meet	“A1”	Verb
against	“A1”	Preposition
man	“A1”	Noun
that	“A1”	Determiner
might	“A1”	Modal verb
Scotland	“A1”	Noun
feel	“A1”	Verb
always	“A1”	Adverb
country	“A1”	Noun
seem	“A1”	Verb
long	“A1”	Adjective
play	“A1”	Verb
month	“A1”	Noun
why	“A1”	Adverb
change	“A1”	Noun
need	“A1”	Noun
Britain	“A1”	Noun
really	“A1”	Adverb
together	“A1”	Adverb
live	“A1”	Verb
name	“A1”	Noun
like	“A1”	Verb
book	“A1”	Noun
often	“A1”	Adverb
question	“A1”	Noun
never	“A1”	Adverb
family	“A1”	Noun
Europe	“A1”	Noun
learn	“A1”	Verb
late	“A1”	Adjective
change	“A1”	Verb
school	“A1”	Noun
early	“A1”	Adjective
rather	“A1”	Adverb
read	“A1”	Verb
move	“A1”	Verb
away	“A1”	Adverb
line	“A1”	Noun
free	“A1”	Adjective
fact	“A1”	Noun
down	“A1”	Adverb
few	“A1”	Determiner
off	“A1”	Adverb
something	“A1”	Pronoun
already	“A1”	Adverb
whether	“A1”	Conjunction
right	“A1”	Noun
send	“A1”	Verb
carry	“A1”	Verb
