"Factor1" "Factor2" "Factor3" "Factor4" "Factor5" "textclass"
"A01" -0.896291815351825 -1.32125765788941 -0.0905271561822678 3.63215097829959 -0.363273930440411 "news"
"A02" -0.558702521878813 -1.37373729729674 -0.543502709985913 1.56046152279726 -0.502100274075053 "news"
"A03" -0.802360461802098 -1.59620742124398 -0.418841685316171 3.11999342419295 -0.378934917532777 "news"
"A04" -1.19602529122346 0.122579241418985 -0.288289842758353 1.10192017278021 0.366094768398477 "news"
"A05" -0.667447105407618 -1.01858401850981 0.341011806688515 4.38346370924695 -0.165310636963816 "news"
"A06" -0.576892737060673 -1.19340146684891 -0.323980591753849 3.7181011984285 -0.362566507031324 "news"
"A07" -1.01245582718805 -1.18191609041741 -0.226826624264914 2.78904247659039 0.210721069246665 "news"
"A08" -0.364519299947888 -0.188187192185747 1.04835317433048 -0.649721089103777 -0.686423269606114 "news"
"A09" -0.781159212095218 -1.61547669522307 -1.13101944032653 2.85792834079527 -0.367667203443017 "news"
"A10" -0.619275992921259 -1.37487324244876 0.0743023863987131 4.06855561189742 0.24575896998845 "news"
"A11" 0.293672517129243 -0.992396248952644 -1.77267167117073 -0.512281202476241 -1.15436264932113 "news"
"A12" 0.76604165937736 -0.680665403497506 -0.669650075575087 0.434826883416727 -1.30002771297301 "news"
"A13" 0.611164408907132 -0.623835229547554 -0.750190738061075 -0.248628440627116 -1.3219586740794 "news"
"A14" 0.121579356699556 -1.24471179856669 -0.746727516687522 -0.127465783695398 -0.958154315693172 "news"
"A15" 0.654448084784766 -0.613913921294077 -0.170862704633035 0.0323353684889548 -0.355349603307801 "news"
"A16" 0.829554132344191 -1.5581537080763 -0.1227740775996 -0.794083801236666 -2.13820276645893 "news"
"A17" 0.15003817841126 -1.86500429035715 -0.135168610756878 -0.535582494183761 -0.958303426755607 "news"
"A18" -0.170887628709745 -1.83769890234205 -0.217677824636381 0.123293834206539 -0.795791926557845 "news"
"A19" -0.734239706229338 -0.792609335164572 -1.28115689872307 3.5768908255509 -1.45820778586942 "news"
"A20" -0.177378401022444 -0.669209853275835 -1.54541521100234 1.21995160066998 -0.4131825153916 "news"
"A21" -0.550564703084711 -0.967523508492309 -1.44864843654364 3.73815655145114 0.0156812781695437 "news"
"A22" -0.497577162195967 -1.7862743293582 -0.646347114641551 3.12816637706441 -0.27908010746344 "news"
"A23" -0.5113506943128 -1.54572627703156 -0.846106837984982 0.917049467079825 -1.11247671524415 "news"
"A24" -0.640095252327076 -1.47578938598925 -1.52284881432939 2.29210882054019 -0.258356130701176 "news"
"A25" -0.303370805893985 -1.26807850696612 -1.57402783666956 1.55474735277605 -0.666436362458019 "news"
"A26" -0.493779537942699 -0.909345730290947 -0.327528122543431 -1.02285829529458 -0.0145140400544137 "news"
"A27" -0.558155239808342 -0.563919593527774 -0.246119087363811 2.21493410324324 -0.747978179290394 "news"
"A28" -0.772938865610054 -0.798540703262867 -1.04834402860277 1.6255331246839 -0.556562241274891 "news"
"A29" -0.0539894183776075 -1.28346820339239 -0.412198645590294 -1.03608303256041 -1.19497400814179 "news"
"A30" 0.372078693544215 -0.50862580653765 -0.530918070127597 -0.413478904630487 -1.10151947945945 "news"
"A31" -0.138421809354139 -1.60096392635977 0.0719711919144549 -0.306005873994483 -0.28290101890623 "news"
"A32" -0.0286720940382841 -0.295115803293553 0.641868990890231 -0.148264676683058 0.153465049653114 "news"
"A33" -0.0451431913374079 -0.87824804685867 -1.14310376947563 0.401028084625198 -0.0666679072385614 "news"
"A34" -0.847704891534409 -0.304272084275673 0.17127720006779 -0.163080608331766 0.656598483203268 "news"
"A35" -1.08309319269939 1.87813482573006 0.468085004211689 -0.556236048360763 -0.833729188811448 "news"
"A36" -1.13223472392484 -0.112758388238692 0.131835687654746 0.578882838527498 -0.904345049176366 "news"
"A37" -0.415671253535442 -0.62363244495145 -0.904847291393351 1.02174473410105 -0.750961269729434 "news"
"A38" 0.421654298890003 0.851291123424739 -1.55299249863233 -1.23164436808287 -0.656130499514144 "news"
"A39" 0.662051555484762 -0.853813216902987 0.0682481221481061 0.113024551153556 -1.4606391916372 "news"
"A40" 0.388976031706825 -0.424498424648687 -1.11538712636392 0.306865987331199 -0.588343052865502 "news"
"A41" -0.492615741160326 0.158842045670608 -0.673796461228406 -0.255975182001143 -0.496321203650799 "news"
"A42" 0.0206923842036688 -1.10092959922546 -1.20270559749006 0.269224073304046 -0.250574951019375 "news"
"A43" -0.831906639842473 -0.726844440815176 0.219876168999999 -0.608384477489238 0.489242005477431 "news"
